F1,Zip,City,Units Sold,Median Price,Year,County
1373,84119,West Valley City,124,"$317,000 ",2020,Salt Lake
1374,84120,West Valley City,146,"$340,000 ",2020,Salt Lake
1375,84121,Cottonwood,148,"$549,950 ",2020,Salt Lake
1376,84123,Taylorsville,93,"$405,000 ",2020,Salt Lake
1377,84124,Holladay,84,"$625,000 ",2020,Salt Lake
1378,84128,West Valley,100,"$356,000 ",2020,Salt Lake
1379,84129,Taylorsville,146,"$355,750 ",2020,Salt Lake
1380,84010,Bountiful,136,"$420,500 ",2020,Davis
1381,84014,Centerville,30,"$457,950 ",2020,Davis
1382,84015,Clearfield,248,"$331,000 ",2020,Davis
1383,84025,Farmington,63,"$529,000 ",2020,Davis
1384,84037,Kaysville,115,"$485,000 ",2020,Davis
1385,84040,Layton,104,"$429,500 ",2020,Davis
1386,84041,Layton,164,"$340,000 ",2020,Davis
1387,84054,North Salt Lake,71,"$449,000 ",2020,Davis
1388,84075,Syracuse,126,"$410,000 ",2020,Davis
1389,84087,Woods Cross,62,"$400,000 ",2020,Davis
1390,84067,Roy,210,"$325,000 ",2020,Weber
1391,84310,Eden,40,"$716,310 ",2020,Weber
1392,84315,Hooper,35,"$435,000 ",2020,Weber
1393,84317,Huntsville,19,"$535,000 ",2020,Weber
1394,84401,Marriott/Slaterville,156,"$313,000 ",2020,Weber
1395,84403,South Ogden,140,"$315,000 ",2020,Weber
1396,84404,Farr West/Harrisville,237,"$300,000 ",2020,Weber
1397,84405,Riverdale/Ogden,112,"$330,000 ",2020,Weber
1398,84414,North Ogden,116,"$379,750 ",2020,Weber
1399,84022,Dugway,0,,2020,Tooele
1400,84029,Grantsville,57,"$382,141 ",2020,Tooele
1401,84071,Rush Valley,12,"$439,762 ",2020,Tooele
1402,84074,Tooele,299,"$332,800 ",2020,Tooele
1403,84003,American Fork,152,"$454,000 ",2020,Utah
1404,84004,Alpine,21,"$779,000 ",2020,Utah
1405,84042,Lindon,36,"$511,750 ",2020,Utah
1406,84043,Lehi,294,"$452,000 ",2020,Utah
1407,84057,Orem,74,"$355,000 ",2020,Utah
1408,84058,Orem,78,"$383,645 ",2020,Utah
1409,84062,Pleasant Grove,141,"$455,000 ",2020,Utah
1410,84097,Orem,45,"$415,000 ",2020,Utah
1411,84601,Provo,80,"$348,500 ",2020,Utah
1412,84604,Provo,85,"$529,900 ",2020,Utah
1413,84606,Provo,38,"$365,000 ",2020,Utah
1414,84626,Elberta,0,,2020,Utah
1415,84633,Goshen,8,"$333,000 ",2020,Utah
1416,84645,Mona,1,,2020,Utah
1417,84651,Payson,79,"$393,500 ",2020,Utah
1418,84653,Salem,30,"$520,000 ",2020,Utah
1419,84655,Santaquin,61,"$360,000 ",2020,Utah
1420,84660,Spanish Fork,160,"$385,000 ",2020,Utah
1421,84663,Springville,134,"$366,950 ",2020,Utah
1422,84664,Mapleton,58,"$549,195 ",2020,Utah
1423,99999,US Median,,"$198,800 ",2003,US
1424,99999,US Median,,"$228,800 ",2004,US
1425,99999,US Median,,"$243,600 ",2005,US
1426,99999,US Median,,"$245,400 ",2006,US
1427,99999,US Median,,"$238,400 ",2007,US
1428,99999,US Median,,"$222,500 ",2008,US
1429,99999,US Median,,"$219,000 ",2009,US
1430,99999,US Median,,"$224,300 ",2010,US
1431,99999,US Median,,"$221,100 ",2011,US
1432,99999,US Median,,"$251,700 ",2012,US
1433,99999,US Median,,"$273,600 ",2013,US
1434,99999,US Median,,"$298,900 ",2014,US
1435,99999,US Median,,"$302,500 ",2015,US
1436,99999,US Median,,"$310,900 ",2016,US
1437,99999,US Median,,"$337,900 ",2017,US
1438,99999,US Median,,"$322,800 ",2018,US
1439,99999,US Median,,"$327,100 ",2019,US
1440,99999,US Median,,"$346,800 ",2020,US
